Kp,Ki,Kd,TSE,Plot Filename
1.9,0.11,0.9,1.365934583648031,best_pid_plot_1.png
1.9,0.22,0.9,1.3745021820657068,best_pid_plot_2.png
1.9,0.33,0.9,1.3867929829250107,best_pid_plot_3.png
1.9,0.44,0.9,1.3942356656696837,best_pid_plot_4.png
1.9,0.55,0.9,1.3972891985756586,best_pid_plot_5.png
1.9,1.98,0.9,1.3975397778075358,
1.9,1.87,0.9,1.3975576386926916,
1.9,1.76,0.9,1.3975901685438175,
1.9,1.65,0.9,1.3976425824033898,
1.9,1.54,0.9,1.397711273424009,
1.9,0.99,0.9,1.397781427223836,
1.9,1.43,0.9,1.397781467251948,
1.9,1.1,0.9,1.3978089465164043,
1.9,0.88,0.9,1.3978265548024404,
1.9,1.32,0.9,1.397830427840222,
1.9,1.21,0.9,1.3978387846066382,
1.9,0.77,0.9,1.3979733067913094,
1.9,0.66,0.9,1.3980305309651273,
1.9,0.0,0.9,1.398325642019463,
1.9,0.11,0.8,1.4370451832136775,
1.8,0.11,0.9,1.4385378282242178,
1.9,0.22,0.8,1.4457924740589911,
1.8,0.22,0.9,1.4495836098941457,
1.9,0.33,0.8,1.457849695793858,
1.8,0.33,0.9,1.4637435260853415,
1.9,0.44,0.8,1.4650208212539473,
1.9,0.55,0.8,1.467940325257914,
1.9,1.98,0.8,1.4682338153983412,
1.9,1.87,0.8,1.468254883884928,
1.9,1.76,0.8,1.4682833739777394,
1.9,1.65,0.8,1.4683251911348616,
1.9,1.54,0.8,1.4683806737351828,
1.9,1.43,0.8,1.4684414965870842,
1.9,1.32,0.8,1.4684914379617335,
1.9,0.99,0.8,1.4684972036988386,
1.9,1.1,0.8,1.4685066922815548,
1.9,1.21,0.8,1.4685139160946292,
1.9,0.88,0.8,1.4685392275023195,
1.9,0.77,0.8,1.468654546357694,
1.9,0.66,0.8,1.4686719974215223,
1.9,0.0,0.8,1.4689658910906493,
1.8,0.44,0.9,1.4716646525101569,
1.8,1.98,0.9,1.474343991328002,
1.8,1.87,0.9,1.474347316312307,
1.8,1.76,0.9,1.4743691618562929,
1.8,1.65,0.9,1.4744219692468203,
1.8,1.54,0.9,1.4745064287422076,
1.8,0.55,0.9,1.4745087807325692,
1.8,0.88,0.9,1.4745740727647425,
1.8,0.99,0.9,1.4745827336209125,
1.8,1.43,0.9,1.4746054984160828,
1.8,1.1,0.9,1.474661552426216,
1.8,1.32,0.9,1.474685440421324,
1.8,1.21,0.9,1.474708934043713,
1.8,0.77,0.9,1.4747336597103728,
1.8,0.66,0.9,1.474948763073837,
1.8,0.0,0.9,1.4752656867309777,
1.8,0.11,0.8,1.5140548048163112,
1.7,0.11,0.9,1.5193309449831593,
1.9,0.11,0.7,1.5214444433488723,
1.8,0.22,0.8,1.5252996239931484,
1.9,0.22,0.7,1.5303468114878265,
1.7,0.22,0.9,1.5335266503817946,
1.8,0.33,0.8,1.5391455817120447,
1.9,0.33,0.7,1.5421659651400097,
1.8,0.44,0.8,1.5467369582774981,
1.9,0.44,0.7,1.5490796284778314,
1.8,1.98,0.8,1.549345603634861,
1.8,1.87,0.8,1.5493577239039065,
1.8,1.76,0.8,1.5493770747708213,
1.8,1.65,0.8,1.5494156673318504,
1.8,0.55,0.8,1.549442465536454,
1.8,1.54,0.8,1.549478981201814,
1.8,1.43,0.8,1.5495594885398605,
1.8,0.88,0.8,1.549614524022342,
1.8,0.99,0.8,1.549614567410228,
1.8,1.32,0.8,1.5496345405262955,
1.8,1.1,0.8,1.5496596824513145,
1.8,1.21,0.8,1.5496738535494652,
1.8,0.77,0.8,1.5497402079542626,
1.7,0.33,0.9,1.5498614250068936,
1.8,0.66,0.8,1.5498958915171754,
1.8,0.0,0.8,1.550185709074166,
1.9,0.55,0.7,1.5518796667933314,
1.9,1.98,0.7,1.5522146359472857,
1.9,1.87,0.7,1.5522401945913253,
1.9,1.76,0.7,1.5522683304385358,
1.9,1.65,0.7,1.5523041750101905,
1.9,1.54,0.7,1.552349929986641,
1.9,1.43,0.7,1.5524017893080484,
1.9,1.32,0.7,1.5524492108781094,
1.9,1.21,0.7,1.5524793781640218,
1.9,1.1,0.7,1.5524881816379923,
1.9,0.99,0.7,1.5524934544533107,
1.9,0.88,0.7,1.5525344934919063,
1.9,0.66,0.7,1.5526062050085399,
1.9,0.77,0.7,1.5526243616031878,
1.9,0.0,0.7,1.5529051487710395,
1.7,0.44,0.9,1.55820728547754,
1.7,1.76,0.9,1.5601292151070572,
1.7,1.87,0.9,1.5601305114836095,
1.7,1.98,0.9,1.5601525342628233,
1.7,1.65,0.9,1.5601732502800734,
1.7,1.54,0.9,1.5602726254994697,
1.7,0.88,0.9,1.560292937658425,
1.7,0.99,0.9,1.5603967773284368,
1.7,1.43,0.9,1.5604107805342537,
1.7,0.77,0.9,1.560417976035931,
1.7,1.32,0.9,1.560540954032403,
1.7,1.1,0.9,1.5605428592979336,
1.7,1.21,0.9,1.560599703428227,
1.7,0.55,0.9,1.5607082106855232,
1.7,0.66,0.9,1.5607794496745064,
1.7,0.0,0.9,1.5612582855859158,
1.7,0.11,0.8,1.5998009109048699,
1.8,0.11,0.7,1.603355878076582,
1.6,0.11,0.9,1.609765356465619,
1.7,0.22,0.8,1.614216081145454,
1.8,0.22,0.7,1.6147663397526695,
1.9,0.11,0.6,1.6176410162847232,
1.9,0.22,0.6,1.6266757289374412,
1.6,0.22,0.9,1.6279919780679952,
1.8,0.33,0.7,1.6282936011265723,
1.7,0.33,0.8,1.6301282332736082,
1.8,0.44,0.7,1.6355750558609532,
1.7,0.44,0.8,1.6380737426588574,
1.8,1.98,0.7,1.6381224544034299,
1.8,1.87,0.7,1.6381445746132346,
1.8,0.55,0.7,1.638160249264904,
1.8,1.76,0.7,1.6381669498796776,
1.8,1.65,0.7,1.638199086322017,
1.8,1.54,0.7,1.6382479679971391,
1.9,0.33,0.6,1.6382548513291064,
1.8,1.43,0.7,1.6383122428720338,
1.8,1.32,0.7,1.6383784926892968,
1.8,0.99,0.7,1.638415035036647,
1.8,1.21,0.7,1.6384243926746263,
1.8,0.88,0.7,1.638425411932411,
1.8,1.1,0.7,1.6384328411565239,
1.8,0.77,0.7,1.6385260331440767,
1.8,0.66,0.7,1.6386303954016368,
1.8,0.0,0.7,1.6389036379887818,
1.7,1.87,0.8,1.6399766347438327,
1.7,1.76,0.8,1.6399773604888972,
1.7,1.98,0.8,1.6399795323085404,
1.7,1.65,0.8,1.640003450239811,
1.7,1.54,0.8,1.6400702181629063,
1.7,1.43,0.8,1.6401747668786055,
1.7,0.88,0.8,1.6401884557630428,
1.7,0.99,0.8,1.6402628111453075,
1.7,0.77,0.8,1.6402815956612191,
1.7,1.32,0.8,1.6402884326737321,
1.7,1.1,0.8,1.6403517559876188,
1.7,1.21,0.8,1.6403620837418238,
1.7,0.55,0.8,1.6404390080363604,
1.7,0.66,0.8,1.6405590658329299,
1.7,0.0,0.8,1.640961002197376,
1.9,0.44,0.6,1.6449257026884503,
1.6,0.33,0.9,1.6468595336349492,
1.9,0.55,0.6,1.6476196103943674,
1.9,1.98,0.6,1.6479987764200505,
1.9,1.87,0.6,1.6480279898333188,
1.9,1.76,0.6,1.6480572099335655,
1.9,1.65,0.6,1.6480901188696822,
1.9,1.54,0.6,1.6481292752611332,
1.9,1.43,0.6,1.6481735613931283,
1.9,1.32,0.6,1.6482167988601961,
1.9,1.21,0.6,1.6482500001682598,
1.9,1.1,0.6,1.648269022198798,
1.9,0.99,0.6,1.6482851191875003,
1.9,0.88,0.6,1.6483255816689983,
1.9,0.66,0.6,1.6483444323480179,
1.9,0.77,0.6,1.6483943709416238,
1.9,0.0,0.6,1.648652391450274,
1.6,0.44,0.9,1.655526893170947,
1.6,1.76,0.9,1.6565264643297013,
1.6,1.65,0.9,1.656544175936315,
1.6,1.87,0.9,1.6565714715621132,
1.6,1.98,0.9,1.656634918625155,
1.6,0.88,0.9,1.6566491200864697,
1.6,1.54,0.9,1.6566523671644835,
1.6,0.77,0.9,1.6566657593329865,
1.6,1.43,0.9,1.6568407706920276,
1.6,0.99,0.9,1.6569028091520555,
1.6,1.32,0.9,1.6570486755437612,
1.6,1.1,0.9,1.6571297384728363,
1.6,0.66,0.9,1.6571381002673282,
1.6,1.21,0.9,1.6571760021180402,
1.6,0.55,0.9,1.6575064288110752,
1.6,0.0,0.9,1.658000769250854,
1.7,0.11,0.7,1.6946085019857404,
1.6,0.11,0.8,1.6958476184949038,
1.8,0.11,0.6,1.7050470065499912,
1.7,0.22,0.7,1.7091972256458863,
1.5,0.11,0.9,1.7116476592661587,
1.6,0.22,0.8,1.7143147230702374,
1.8,0.22,0.6,1.7165922819867114,
1.7,0.33,0.7,1.7246820734036956,
1.9,0.11,0.5,1.7271528824614493,
1.8,0.33,0.6,1.729799619356236,
1.7,0.44,0.7,1.732255373782983,
1.6,0.33,0.8,1.7326114666605434,
1.7,1.98,0.7,1.7341231991803734,
1.7,1.87,0.7,1.734139969937617,
1.7,1.76,0.7,1.7341508112142174,
1.7,1.65,0.7,1.7341716920596553,
1.7,1.54,0.7,1.7342180742594402,
1.7,1.43,0.7,1.734295052981797,
1.7,1.32,0.7,1.7343883604443426,
1.7,0.88,0.7,1.734395244082363,
1.7,0.99,0.7,1.7344394795082583,
1.7,1.21,0.7,1.7344637367222377,
1.7,0.77,0.7,1.7344693593396785,
1.7,1.1,0.7,1.7344830474428163,
1.7,0.55,0.7,1.734507970527412,
1.7,0.66,0.7,1.7346772704096798,
1.7,0.0,0.7,1.735019691805884,
1.5,0.22,0.9,1.7350727054393098,
1.9,0.22,0.5,1.736299272758944,
1.8,0.44,0.6,1.7367915150201838,
1.8,0.55,0.6,1.7392727176079603,
1.8,1.98,0.6,1.7392924204003886,
1.8,1.87,0.6,1.7393223875116774,
1.8,1.76,0.6,1.7393495319330383,
1.8,1.65,0.6,1.7393801185117401,
1.8,1.54,0.6,1.739420396862443,
1.8,1.43,0.6,1.7394721438238194,
1.8,1.32,0.6,1.739528631944861,
1.8,1.21,0.6,1.739574959788859,
1.8,1.1,0.6,1.7395970323584833,
1.8,0.99,0.6,1.7395993808082038,
1.8,0.88,0.6,1.73961935807014,
1.8,0.77,0.6,1.7397010415401806,
1.8,0.66,0.6,1.7397613363721984,
1.8,0.0,0.6,1.7400261697024062,
1.6,0.44,0.8,1.7407931492354805,
1.6,1.65,0.8,1.7418456972331495,
1.6,1.76,0.8,1.7418488096557183,
1.6,1.87,0.8,1.741881665269545,
1.6,1.54,0.8,1.741905030497019,
1.6,1.98,0.8,1.741907622686131,
1.6,0.77,0.8,1.7420290423807658,
1.6,0.88,0.8,1.742033753189847,
1.6,1.43,0.8,1.742035711523568,
1.6,1.32,0.8,1.7422057802813673,
1.6,0.99,0.8,1.7422226053936414,
1.6,1.21,0.8,1.7423416138899435,
1.6,1.1,0.8,1.742357847038218,
1.6,0.66,0.8,1.742387258939679,
1.6,0.55,0.8,1.7426533933899293,
1.6,0.0,0.8,1.7430834119220193,
1.9,0.33,0.5,1.7476387470890005,
1.9,0.44,0.5,1.7540817307161003,
1.9,0.55,0.5,1.75668165980315,
1.5,0.33,0.9,1.756890424504541,
1.9,1.98,0.5,1.7571125511106098,
1.9,1.87,0.5,1.7571433758693655,
1.9,1.76,0.5,1.7571733108537517,
1.9,1.65,0.5,1.7572045648093533,
1.9,1.54,0.5,1.7572392182534269,
1.9,1.43,0.5,1.7572774089564667,
1.9,1.32,0.5,1.7573159058800984,
1.9,1.21,0.5,1.7573489935116489,
1.9,1.1,0.5,1.7573734486551058,
1.9,0.99,0.5,1.7573963065892777,
1.9,0.66,0.5,1.7574074110774023,
1.9,0.88,0.5,1.757435355297122,
1.9,0.77,0.5,1.757485921723848,
1.9,0.0,0.5,1.7577256436202595,
1.5,0.77,0.9,1.7655372411996415,
1.5,1.65,0.9,1.7656013903927201,
1.5,1.76,0.9,1.765641537829949,
1.5,0.44,0.9,1.7657005781700787,
1.5,1.54,0.9,1.7657022564973635,
1.5,0.88,0.9,1.7657410653726964,
1.5,1.87,0.9,1.7657633622011486,
1.5,1.98,0.9,1.7658916262618483,
1.5,1.43,0.9,1.7659512152408205,
1.5,0.66,0.9,1.7660457737321595,
1.5,0.99,0.9,1.7662152366737636,
1.5,1.32,0.9,1.766275236688189,
1.5,1.21,0.9,1.7665244621640082,
1.5,1.1,0.9,1.7665290782505991,
1.5,0.55,0.9,1.7669218584200725,
1.5,0.0,0.9,1.7676430461519959,
1.6,0.11,0.7,1.796890043731343,
1.7,0.11,0.6,1.802467728822212,
1.5,0.11,0.8,1.8041483695934901,
1.6,0.22,0.7,1.8155336162527542,
1.7,0.22,0.6,1.8171876079693878,
1.8,0.11,0.5,1.8207657594340505,
1.4,0.11,0.9,1.8272500761990125,
1.5,0.22,0.8,1.8278347542797453,
1.7,0.33,0.6,1.832245417952651,
1.8,0.22,0.5,1.8324178855839934,
1.6,0.33,0.7,1.8332555360108722,
1.7,0.44,0.6,1.8394750402504876,
1.6,0.44,0.7,1.8409919524791953,
1.7,1.98,0.6,1.8413159733432605,
1.7,1.87,0.6,1.84134757477273,
1.7,1.76,0.6,1.8413702599028527,
1.7,1.65,0.6,1.8413935918802413,
1.7,1.54,0.6,1.8414298942886307,
1.7,1.43,0.6,1.8414872489697123,
1.7,1.32,0.6,1.8415611118127955,
1.7,1.21,0.6,1.8416303071301652,
1.7,0.55,0.6,1.8416347243814704,
1.7,0.88,0.6,1.8416371341702715,
1.7,0.99,0.6,1.841654688242682,
1.7,1.1,0.6,1.8416654370658174,
1.7,0.77,0.6,1.8417005285868608,
1.7,0.66,0.6,1.8418515581114172,
1.6,1.65,0.7,1.8420969633669617,
1.6,1.98,0.7,1.8420990443103167,
1.6,1.76,0.7,1.842100241408933,
1.6,1.87,0.7,1.8421092580962055,
1.6,1.54,0.7,1.842128973704466,
1.7,0.0,0.6,1.8421498614952942,
1.6,1.43,0.7,1.8422148119422983,
1.6,0.77,0.7,1.842323796456932,
1.6,0.88,0.7,1.8423312468775201,
1.6,1.32,0.7,1.8423443115747644,
1.6,0.99,0.7,1.8424574046554365,
1.6,1.21,0.7,1.8424699009476861,
1.6,1.1,0.7,1.8425218314060132,
1.6,0.66,0.7,1.8425925684068176,
1.6,0.55,0.7,1.84276175589526,
1.6,0.0,0.7,1.8431503494836976,
1.8,0.33,0.5,1.8453073115622607,
1.5,0.33,0.8,1.8488774566088633,
1.8,0.44,0.5,1.8520301552071607,
1.9,0.11,0.4,1.8525355274515134,
1.8,0.55,0.5,1.8544218195703317,
1.8,1.98,0.5,1.854505323165915,
1.8,1.87,0.5,1.8545392826791036,
1.8,1.76,0.5,1.8545700373988045,
1.8,1.65,0.5,1.8546009484575163,
1.8,1.54,0.5,1.8546364770977626,
1.8,1.43,0.5,1.8546792731345962,
1.8,1.32,0.5,1.8547267371934493,
1.8,1.21,0.5,1.854769919026566,
1.8,1.1,0.5,1.8547986177533844,
1.8,0.99,0.5,1.8548141470255872,
1.8,0.88,0.5,1.8548411233630726,
1.8,0.77,0.5,1.8549074999913158,
1.8,0.66,0.5,1.8549297092288426,
1.8,0.0,0.5,1.8551911959330527,
1.5,0.44,0.8,1.8570994368269436,
1.5,1.65,0.8,1.8571535057382011,
1.5,1.54,0.8,1.857182827099912,
1.5,0.77,0.8,1.8571884955120026,
1.5,1.76,0.8,1.8572145159257145,
1.5,1.87,0.8,1.8573038570184297,
1.5,1.43,0.8,1.8573358791871983,
1.5,1.98,0.8,1.857362784136983,
1.5,0.88,0.8,1.8573877083777066,
1.4,0.22,0.9,1.8574387164523756,
1.5,0.66,0.8,1.8575469691609092,
1.5,1.32,0.8,1.8575845211429127,
1.5,0.99,0.8,1.8577387996878307,
1.5,1.21,0.8,1.8578253375986213,
1.5,1.1,0.8,1.8579104290631985,
1.5,0.55,0.8,1.8582408321228296,
1.5,0.0,0.8,1.8588223291465118,
1.9,0.22,0.4,1.8617751327067662,
1.9,0.33,0.4,1.87287748819229,
1.9,0.44,0.4,1.8791076359490717,
1.9,0.55,0.4,1.8816246679157589,
1.9,1.98,0.4,1.8821197294670828,
1.9,1.87,0.4,1.8821497285065716,
1.9,1.76,0.4,1.8821788634593208,
1.9,1.65,0.4,1.8822082276743257,
1.9,1.54,0.4,1.882239165542246,
1.9,1.43,0.4,1.8822721634460755,
1.9,1.32,0.4,1.882305722135776,
1.9,1.21,0.4,1.8823365549884008,
1.9,0.66,0.4,1.8823535442409518,
1.9,1.1,0.4,1.882362623270544,
1.9,0.99,0.4,1.882388376990806,
1.9,0.88,0.4,1.882424345558727,
1.9,0.77,0.4,1.8824582085780326,
1.9,0.0,0.4,1.8826801583676254,
1.4,0.33,0.9,1.8826900457879978,
1.4,0.77,0.9,1.8896520553021132,
1.4,1.65,0.9,1.8899664531026241,
